,Unnamed: 0,peRatio,pegRatio,pbRatio,prRatio,pcfRatio,grossMarginTTM,grossMarginMRQ,netProfitMarginTTM,netProfitMarginMRQ,operatingMarginTTM,operatingMarginMRQ,returnOnEquity,returnOnAssets,returnOnInvestment,currentRatio,totalDebtToCapital,ltDebtToEquity,totalDebtToEquity,revChangeTTM,revChangeIn,sharesOutstanding,marketCapFloat,marketCap,bookValuePerShare
0,ALPS,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33830221.0,0.0,0.0,0.0
1,AMPY,0.57748,0.000701,0.73673,0.59887,0.5289,69.14566,58.73294,107.5792,441.6665,53.79896,139.5768,374.9991,78.13915,107.1227,0.84681,26.48339,36.02368,36.02368,11.78721,0.0,38971426.0,38.0559,255.6526,0.0
2,AM,15.04651,12.113669,2.28818,5.19104,9.21242,0.0,0.0,34.62224,33.33924,58.13476,57.17121,14.97751,5.86213,5.98625,1.02281,60.49462,153.1301,153.1301,7.66291,7.41949,479656189.0,321.4952,4988.424,122.5989
3,AR,3.14225,0.004189,0.95365,0.85168,2.10307,79.91207,75.68172,31.72536,18.54669,39.6184,23.5314,36.63453,17.79152,21.30371,0.29224,15.49877,19.01837,19.02888,84.66938,0.0,300135248.0,263.9867,6608.978,0.0
4,APA,5.11655,0.0,21.98421,0.9373,2.61268,70.59727,73.25697,23.64125,16.23506,44.5458,43.32669,954.4601,19.16774,25.56329,1.11328,80.18255,1305.405,1305.856,18.56996,0.0,308599131.0,308.4436,9760.99,0.0
5,ARCH,1.95714,0.020396,1.53562,0.60128,1.60772,35.53419,34.27789,33.73459,22.77284,28.1816,27.06468,105.278,54.85489,67.22882,2.57943,9.41511,7.77087,10.39369,37.08584,1.21785,18674130.0,17.13057,2240.709,19.74128
6,AROC,25.11379,0.186791,1.72301,1.67365,6.66695,49.92775,50.66439,6.72511,7.17257,16.07548,19.84867,6.65491,2.26287,2.42322,1.18928,64.46105,181.3814,181.3814,12.12541,5.00889,156695322.0,134.7082,1469.802,0.0
7,BRN,4.63086,0.024582,4.38906,1.39077,3.14186,27.64709,28.95623,38.0644,143.8487,0.0,29.68143,317.9732,34.79767,54.57731,2.28034,3.93842,0.98623,4.04767,0.0,0.0,9956687.0,4.91243,22.7628,0.0
8,BATL,5.53,0.0,7.23009,0.84525,0.0,79.17392,83.00966,0.0,0.0,0.0,32.48143,0.0,0.0,0.0,0.30434,87.47836,689.2761,698.6172,10.9697,15.93717,16457531.0,16.16817,170.9771,0.0
9,BRY,1.81168,0.002678,0.67842,0.47639,1.12181,50.02409,31.9784,27.90133,0.0,26.90849,0.0,43.53437,19.84331,22.92604,0.82093,36.72658,58.04424,58.04424,98.08491,30.96624,77081809.0,74.41933,514.1357,0.00033
10,BP,4.23029,0.016567,1.45549,0.42127,2.4939,30.25258,34.90976,10.92761,14.99057,18.02622,21.38763,38.66621,9.45186,15.16875,1.17344,39.6174,73.20237,79.69349,43.99054,0.0,17591322012.0,2904.66,104609.2,0.0
11,VTOL,52.21334,0.297084,0.76713,0.50043,6.58062,22.37531,21.95436,0.98482,0.0,2.9164,1.96741,1.46894,0.6479,0.76294,1.91446,40.83089,67.3666,68.97506,3.32314,0.0,28008238.0,27.34747,612.8203,0.0
12,WHD,16.60642,0.145588,3.04384,3.58766,13.24005,35.9271,34.84556,22.09528,22.89267,25.09434,21.75434,21.54434,13.37756,17.50469,2.82718,15.34788,16.39424,22.76817,54.15311,21.63825,64127114.0,75.21341,2765.634,0.0
13,CRC,2.92853,0.02567,1.30341,0.76208,2.25909,76.04807,75.19531,27.94857,29.39453,38.96031,38.37891,56.73759,24.9004,32.73322,1.35565,22.05663,28.29828,28.29828,113.103,50.14663,70549158.0,70.05531,2726.725,0.0
14,CPE,1.37609,0.007117,0.52224,0.63496,1.01942,69.92301,65.3807,46.14509,39.39641,46.44538,32.88837,49.9867,22.43601,26.17526,0.39365,37.6565,60.40165,60.40165,22.3941,0.0,61869812.0,60.38485,1913.633,0.0
15,CCJ,91.49913,0.243584,2.65127,7.33305,35.04374,16.25659,24.33567,7.78622,17.31708,5.82376,13.7858,3.09871,2.08764,2.20721,7.74506,14.34059,16.74142,16.74142,36.25596,31.16994,432518470.0,432.0184,11731.91,1.90652
16,CNQ,8.78187,1.293961,2.11429,2.04795,4.82369,53.57134,47.87949,23.93729,20.84589,32.65509,28.38934,25.00162,12.57242,14.15902,0.82689,26.00299,31.93728,35.1406,17.94819,0.0,1102636000.0,1092.647,61142.31,5.98766
17,CVE,7.88508,0.042798,1.49034,0.65065,4.15262,48.99859,52.76464,8.67362,5.18676,12.8524,6.26325,21.06039,9.96033,11.57335,1.63436,29.13256,40.05796,41.12765,17.76115,0.0,1909190359.0,1368.616,30385.4,0.0
18,LEU,7.8,0.0,0.0,1.7784,14.54243,25.76687,27.40385,10.67485,18.58974,7.97546,12.01923,0.0,5.38422,17.12598,1.21651,0.0,0.0,0.0,0.0,12.23022,13919646.0,9.4831,434.8185,0.0
19,CHX,29.31673,1.027855,3.05318,1.32582,12.20391,26.41992,30.04027,4.66868,6.65832,7.73071,11.55421,10.4454,5.26258,6.90326,1.74612,26.50059,35.2896,35.65971,19.41833,0.0,197973797.0,197.7361,5155.238,0.0
20,LNG,4.85857,0.0,0.0,2.17871,25.23304,33.04037,20.64965,0.0,0.0,12.80664,4.70666,0.0,0.0,0.0,1.03942,92.79029,0.0,0.0,0.64152,0.0,242958190.0,250.6767,22558.34,0.0
21,CHK,1.68019,0.001866,1.04239,0.77462,1.21352,86.79641,84.7117,51.2878,45.76606,46.22341,59.96705,89.64637,50.84636,65.65713,1.38514,16.55441,19.83857,19.83857,159.9586,0.0,133869079.0,127.7533,10706.85,0.0
22,CVX,8.29887,0.112243,1.82366,1.25204,5.57832,38.78275,39.79157,15.47331,13.5232,18.43527,16.55133,23.41102,14.23394,16.40426,1.43326,12.63668,12.71566,14.55387,31.32761,0.0,1894643487.0,1875.697,290781.0,1.35148
23,CHRD,3.16087,0.01239,1.20301,1.47196,2.59608,63.29595,61.68305,44.90641,33.12809,41.58989,36.37098,56.34887,36.30779,46.87277,1.1814,7.65764,8.29266,8.29266,103.9461,0.0,41549926.0,39.33979,5726.411,55.18761
24,CIVI,4.10683,0.013646,1.03155,1.45245,2.40526,94.04625,91.4791,37.43934,30.86192,50.22903,36.74526,27.90559,18.47741,22.06864,0.90379,7.16399,7.71682,7.71682,116.7883,0.0,80436855.0,79.43712,5271.832,13.40847
25,CNX,1.90722,0.008989,0.72146,0.72552,1.32438,81.16212,67.80228,42.13017,144.257,64.1593,38.99738,48.60051,18.0064,21.72041,0.49879,38.23773,61.87126,61.91115,33.09948,0.0,165575514.0,162.4314,2568.076,0.0
26,CRK,2.35118,0.00504,1.17788,0.73966,1.66233,77.71835,72.85946,31.44609,56.35603,61.59333,56.44244,68.09835,22.01947,25.43103,0.853,48.58106,94.48087,94.48087,96.03384,0.0,277510165.0,124.8476,2683.523,0.0
27,COP,7.82182,0.269731,2.48353,1.5709,5.05755,46.30608,46.54649,20.96951,19.71508,30.90425,28.40456,32.66152,17.14867,19.6086,1.39496,25.7636,31.9486,34.70481,40.50852,0.0,1210058689.0,1208.365,118670.5,8.5692
28,CEIX,2.9442,0.000377,1.53641,0.80743,2.11386,91.33211,90.08535,28.75406,33.83513,37.10589,40.31879,72.00577,25.94347,32.33841,1.38313,19.29166,21.60767,23.90294,62.47388,11.05944,33919253.0,33.0611,1970.709,35.66117
29,CTRA,4.75109,0.032748,1.4837,2.05156,3.25242,88.43589,85.1435,45.18527,38.09792,58.09378,49.35284,33.88202,20.43197,21.99053,1.6584,14.7679,17.27927,17.32669,95.98057,0.0,757453231.0,749.43,18769.69,24.65445
