,Unnamed: 0,peRatio,pegRatio,pbRatio,prRatio,pcfRatio,grossMarginTTM,grossMarginMRQ,netProfitMarginTTM,netProfitMarginMRQ,operatingMarginTTM,operatingMarginMRQ,returnOnEquity,returnOnAssets,returnOnInvestment,currentRatio,totalDebtToCapital,ltDebtToEquity,totalDebtToEquity,revChangeTTM,revChangeIn,sharesOutstanding,marketCapFloat,marketCap,bookValuePerShare
0,KRKR,13.18372,0.105663,0.83442,0.86126,11.30969,57.25604,50.68496,7.01929,0.0,0.0,0.0,6.88396,4.21897,6.92469,1.8995,2.80018,0.0,2.94286,1.80504,2.07911,919330507.0,29.97134,39.80092,12.6054
1,ATVI,33.10013,0.0,3.03961,7.5092,27.51909,70.42859,72.094,22.81714,31.05329,24.45045,33.57113,9.79286,7.09093,7.85674,5.15406,15.21959,17.95178,17.95178,0.0,2.0994,786158727.0,775.8923,61147.43,14.45843
2,ADTH,1.97564,0.0,0.8048,0.74192,1.65169,48.90496,43.7259,40.02978,0.0,1.08136,0.0,58.37614,37.88733,42.15516,6.47715,0.0,0.0,0.0,0.0,0.0,87810323.0,79.79442,122.0564,0.0
3,GOOG,26.98096,0.0,5.82768,5.3435,20.57394,55.54123,57.11092,20.58487,21.56705,25.35487,24.9545,22.75674,16.12663,19.66716,2.35259,5.11669,5.25002,5.39261,5.28161,0.0,5874000000.0,11345.42,1520825.0,12.67919
4,GOOGL,26.98096,0.0,5.82768,5.3435,20.57394,55.54123,57.11092,20.58487,21.56705,25.35487,24.9545,22.75674,16.12663,19.66716,2.35259,5.11669,5.25002,5.39261,5.28161,0.0,5941000000.0,11345.42,1520825.0,12.67919
5,ATUS,51.75707,0.0,0.0,0.12944,0.68286,66.92595,66.35892,0.52436,1.35878,18.05796,18.72394,0.0,0.15329,0.16595,0.32026,101.9606,0.0,0.0,0.0,0.0,270340053.0,212.4396,1232.195,0.0
6,AMCX,132.5803,0.0,0.63055,0.18766,4.75952,49.75897,54.45949,0.38,15.51237,2.75782,24.15565,0.75966,0.21024,0.27562,1.73859,69.88129,301.7975,306.8171,0.12301,0.0,32019659.0,27.58705,582.0844,53.39731
7,AMX,15.72324,0.0,0.0,1.49597,5.13044,42.58284,43.4949,10.3206,14.95233,20.61258,21.11987,21.91622,5.19174,8.34396,0.66604,60.90681,125.7776,184.315,0.17292,0.0,63202800000.0,3142.944,72534.61,0.0
8,ATHM,15.00841,2.823401,1.18529,4.05381,12.76015,81.1461,77.81641,27.54405,26.21651,14.05907,12.83081,8.1862,6.62005,8.13698,5.24166,0.0,0.0,0.0,1.98712,0.0,509387600.0,75.30805,4068.082,23.36086
9,BIDU,47.11566,0.0,1.44836,2.61734,22.79412,48.30402,48.77105,6.09177,15.47903,12.86517,13.88578,3.20414,1.95433,2.5536,2.67299,26.04186,28.27258,37.46901,0.0,1.65028,2268941029.0,279.1054,46384.56,0.0
10,BCE,22.60279,0.0,3.20025,2.38125,7.85628,67.7291,67.72382,11.40372,13.01619,20.26007,20.71358,13.60609,4.04923,4.83335,0.56616,60.28714,125.1755,154.1123,3.32726,0.0,911982866.0,911.7365,43057.43,1.53693
11,CABO,33.84488,0.0,2.18915,2.23511,7.55462,72.74543,73.41489,9.12732,17.52573,30.55915,31.31213,6.52763,2.24406,2.31748,1.74583,68.6633,217.1595,219.1146,0.58606,0.0,5681414.0,5.2465,3802.4,20.90196
12,CHTR,10.99018,1.046977,5.36142,0.92692,3.49245,45.30702,44.59093,10.35888,8.66476,22.25241,21.43119,45.37666,3.90765,4.42105,0.33222,88.36337,1019.038,1040.263,4.03934,0.0,150575230.0,99.12742,50493.9,0.0
13,CHT,26.30896,9.021689,2.4897,4.45507,12.52891,36.87553,37.96485,17.51931,18.21229,21.55138,22.4563,9.50541,7.37975,8.51344,1.8738,9.62734,10.04842,10.98396,3.77174,0.0,7757446545.0,455.5394,31735.01,0.87773
14,CCOI,285.1075,0.0,0.0,5.04666,28.9729,62.03037,61.82124,1.74118,4.00292,16.15964,15.82936,0.0,1.0687,1.20252,2.58038,176.5675,0.0,0.0,1.99647,1.0587,48308530.0,42.10516,3048.268,0.0
15,CMCSA,30.12729,0.0,2.01513,1.37932,8.59949,69.48855,69.67431,4.34189,12.68735,11.75432,19.01586,6.38575,1.955,2.22585,0.69033,54.68367,114.5376,122.1849,0.0,0.0,4159383013.0,4117.789,165669.2,5.35952
16,PLAY,12.14371,0.465826,3.98097,0.79106,5.07112,84.27715,84.5587,6.98092,6.94355,13.28779,13.69658,39.98134,4.49124,5.11962,0.67051,74.994,297.8336,299.904,50.63977,17.15585,48412664.0,41.97252,1553.978,0.0
17,DLX,10.88552,0.519489,1.07092,0.28644,2.73696,53.59601,54.03757,2.63231,0.50975,7.75353,6.25838,9.9606,1.9891,2.46668,0.95787,73.90193,270.1342,283.3809,4.23094,0.0,43460550.0,42.73188,638.0009,0.0
