,Unnamed: 0,peRatio,pegRatio,pbRatio,prRatio,pcfRatio,grossMarginTTM,grossMarginMRQ,netProfitMarginTTM,netProfitMarginMRQ,operatingMarginTTM,operatingMarginMRQ,returnOnEquity,returnOnAssets,returnOnInvestment,currentRatio,totalDebtToCapital,ltDebtToEquity,totalDebtToEquity,revChangeTTM,revChangeIn,sharesOutstanding,marketCapFloat,marketCap,bookValuePerShare
0,ANF,273.7954,0.0,1.62696,0.31229,8.09636,56.914,55.69905,0.28085,3.39144,2.50823,7.25296,0.3703,0.36744,0.55951,1.36114,29.58399,42.72229,42.72229,0.0,36.32949,49218719.0,48.14281,1154.767,0.0
1,ASO,7.46091,1.434106,2.63023,0.67302,5.8574,34.59698,32.78231,9.82008,9.02678,13.20682,11.61389,40.57834,13.68137,17.90566,1.62381,26.51259,35.8935,36.07774,0.0,16.90701,76954579.0,75.9446,4304.021,0.0
2,ACEL,11.29992,0.078982,4.44073,0.81146,6.5101,30.82047,29.76013,7.64098,4.82109,9.98714,9.02435,43.97079,10.02163,11.25228,3.32809,75.21724,290.3668,303.5063,31.99779,4.15894,86005125.0,53.59952,786.9469,0.0
3,GOLF,15.49974,0.566259,3.15209,1.32374,11.92942,52.23934,53.28243,9.2258,13.64132,12.80847,18.19989,20.55956,9.55562,12.56642,2.72706,44.53019,79.48085,83.99448,8.16366,53.3938,67363140.0,31.96723,3111.503,4.7791
4,ADNT,278.4027,0.0,1.49359,0.22253,7.61349,6.35427,6.39059,0.63068,0.25562,2.04801,2.1728,0.53548,0.96209,1.65687,1.1629,49.47266,115.2026,115.2936,13.4395,5.75831,94701693.0,94.15532,3281.414,0.0
5,AAP,14.19828,0.0,2.5965,0.6252,8.87643,44.50737,44.06319,4.49918,4.31314,6.33583,5.33612,17.28631,4.14552,7.34697,1.12596,33.89513,44.36738,51.27479,1.42511,0.0,59273781.0,58.78215,6973.951,0.0
6,ABNB,35.13058,0.22402,12.73048,7.74052,32.22711,69.51831,60.94609,23.29786,6.43564,20.69497,0.0,40.46087,10.94088,26.87024,1.54512,27.31144,37.57324,37.57324,31.66583,0.0,412406745.0,392.437,67404.93,0.0
7,AIN,29.50283,0.0,3.12762,2.63686,17.02219,37.5062,36.90802,9.01281,10.06555,12.93642,15.066,10.82995,5.83176,6.57822,4.81591,35.36152,55.00871,55.00871,11.43644,0.11533,31200000.0,30.82442,2794.584,9.40871
8,BABA,40.51593,0.0,1.69439,1.85388,22.01399,36.40345,39.45454,3.52176,18.82457,11.7783,14.13931,4.10357,1.72373,2.49063,1.74321,12.58853,15.04249,16.21588,3.36368,19.58721,21185107544.0,2586.966,229666.5,26.3077
9,ALSN,7.88648,0.201997,4.43097,1.53923,6.00638,47.22909,48.71795,20.19061,22.94197,28.6622,31.03914,68.62627,12.22222,13.70881,1.98289,71.72295,253.0364,253.6437,13.72943,3.20334,91055228.0,89.46075,4360.635,14.10912
