,Unnamed: 0,peRatio,pegRatio,pbRatio,prRatio,pcfRatio,grossMarginTTM,grossMarginMRQ,netProfitMarginTTM,netProfitMarginMRQ,operatingMarginTTM,operatingMarginMRQ,returnOnEquity,returnOnAssets,returnOnInvestment,currentRatio,totalDebtToCapital,ltDebtToEquity,totalDebtToEquity,revChangeTTM,revChangeIn,sharesOutstanding,marketCapFloat,marketCap,bookValuePerShare
0,ASIX,6.71545,0.0,1.2187,0.49294,4.29537,15.07971,17.60156,7.69997,8.72663,10.17095,11.33159,20.29951,9.89471,12.59058,1.25466,14.3492,16.75314,16.75314,4.46463,0.0,27564614.0,26.88207,920.3824,16.85138
1,AEM,10.97336,0.07015,1.39363,4.6453,7.8298,56.15239,56.73572,40.12378,120.3509,26.20445,28.12916,13.19008,8.97518,9.32395,2.31607,11.27164,11.98261,12.70354,39.55647,9.02291,494378388.0,454.0241,27524.03,10.80668
2,APD,28.33656,0.0,4.35435,4.66075,17.33001,27.5291,28.66473,16.75943,14.05894,18.01189,14.3683,15.45403,7.73911,8.85891,2.04496,38.35702,63.73815,65.02138,15.36218,0.80008,222122719.0,220.9595,61214.8,5.10457
3,AGI,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394484911.0,0.0,0.0,0.0
4,ALB,6.59601,0.005447,2.61865,2.7509,7.97561,44.51684,49.47346,30.82611,34.12516,37.11824,42.5603,48.87201,18.66267,23.60055,1.89925,25.48763,35.09699,35.12052,141.9105,0.0,117336441.0,116.9655,24132.59,15.43459
5,ASTL,2.06465,0.0,0.69915,0.33773,1.5604,22.59686,0.0,18.48237,0.0,18.87673,0.0,48.43683,22.18672,31.02297,3.66659,7.57671,6.67392,8.19784,0.0,0.0,103568484.0,94.18686,762.2596,0.0
6,AMR,1.96395,0.019661,1.4006,0.53745,1.46751,42.40376,40.83447,33.45237,29.71473,36.5983,34.51371,106.3832,59.0891,69.66751,3.4506,0.7652,0.54108,0.7711,33.84279,10.6609,14473756.0,12.99634,2118.01,97.69667
7,AVD,25.53524,0.0,1.30565,0.83711,11.70727,37.37978,30.85799,3.31365,1.53581,4.98526,2.61441,5.11789,2.55338,3.73407,1.6729,20.55111,25.86708,25.86708,0.0,0.0,29415136.0,27.68954,489.762,4.19777
8,AU,35.34453,0.0,2.55142,2.33415,11.0706,25.30549,24.38193,7.02066,0.12788,11.53077,4.1347,7.2955,3.9323,4.41064,2.49709,34.43299,50.41463,52.95122,11.71507,8.86311,419379599.0,413.2167,10506.0,8.56528
9,MT,3.72228,0.0,0.37546,0.29158,2.48008,0.0,0.0,8.40685,6.16183,9.18977,6.44289,11.64124,6.67362,9.23574,1.56637,16.97831,16.02623,21.26394,0.0,9.5317,852809772.0,697.162,22308.3,11.65535
10,ACNT,15.3394,0.0,0.74887,0.25407,5.12043,10.07648,5.20545,1.73694,0.0,0.41458,0.0,5.25621,2.42608,2.97406,4.19748,31.88349,44.61037,46.80729,0.0,1.09367,10172945.0,8.87893,96.64298,5.16734
11,ASH,20.20811,0.17422,1.46829,1.97851,9.78669,33.77704,32.66998,10.23295,15.25705,12.02163,13.76451,7.37004,3.79542,4.21197,3.45551,28.90098,40.64891,40.64891,21.16935,14.85714,52800273.0,52.15997,4756.332,1.65338
12,AVTR,22.24672,4.548306,2.70062,1.83711,13.4671,34.56274,35.09521,8.41153,6.82469,14.18357,12.85738,14.60073,4.53579,5.12197,1.5737,54.82371,114.844,121.3551,0.0,0.0,675107574.0,656.3779,13488.65,31.73825
13,AVNT,89.79204,0.0,1.49824,1.05278,16.77241,27.54298,29.27752,1.18493,2.51862,5.91571,6.7518,1.88326,0.71158,0.90987,1.86849,47.92569,92.67597,92.7696,10.0151,6.99646,91072473.0,89.81255,3527.237,28.26344
14,ASM,24.0,0.0,1.33636,24.56149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1808,1.48263,0.32332,1.50494,0.0,0.0,118349090.0,95.43703,100.5793,0.0
15,AXTA,31.61095,0.0,4.23927,1.33296,13.13806,29.31601,29.7531,4.24092,4.71221,8.92435,9.61913,14.29978,3.00807,3.72677,2.0504,69.30488,229.6351,232.2846,10.32761,3.81661,221532692.0,219.0704,6657.058,4.54714
16,BTG,36.2923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1291839411.0,0.0,0.0,0.0
17,BCPC,40.21116,0.0,4.07763,4.19594,25.99314,29.8209,31.46555,10.48031,9.76606,14.93165,14.79659,10.73543,7.02256,7.67504,2.88014,30.83439,44.557,44.58053,12.32401,0.00387,32227733.0,31.86731,3969.49,8.65909
18,GOLD,305.2392,0.0,1.44989,3.04836,12.60775,28.73276,26.56073,5.36888,10.17783,13.26483,20.12864,0.48627,1.2412,1.63498,2.66313,13.23452,20.97917,21.03201,0.0,0.0,1755349661.0,1750.865,32931.45,10.26068
19,GLG,7.35668,0.024793,0.23759,5.4234,10.8818,0.0,0.0,23.85535,0.0,0.0,0.0,1.82799,1.44057,0.0,0.0,0.0,0.0,14.85237,67.33883,0.0,145198470.0,19.06133,96.70218,0.0
20,BHP,8.08459,0.561488,3.45549,2.46512,5.6807,0.0,0.0,33.16303,27.71361,49.92038,42.13044,39.04356,20.65833,26.14102,1.69089,24.00046,29.77864,34.50858,0.0,0.0,5065820556.0,2462.42,148607.0,0.0
21,BCC,4.58779,0.0,1.38756,0.39125,3.88187,21.45955,20.31264,8.57016,6.26376,11.56847,8.26262,34.36621,20.15397,26.03102,3.77786,18.10693,22.11045,22.11045,0.0,0.0,39589825.0,39.18325,2975.571,24.431
22,CBT,12.33466,0.083528,3.49394,0.90159,7.85247,19.86382,20.32914,8.17093,7.84124,12.79643,12.4879,31.23451,9.88215,15.63694,1.92699,52.46914,99.54504,123.7489,9.73976,7.04663,56146458.0,55.9163,3839.856,0.0
23,CMCL,9.97,0.0,1.01578,1.43141,6.14418,49.42968,48.78486,17.79526,13.37009,33.25138,27.82538,10.89037,10.78091,12.84727,3.82913,0.35313,0.20459,0.39754,21.44095,16.54865,19188073.0,10.26425,148.4556,20.01178
24,CE,7.52193,0.0,1.97588,1.1199,5.45105,22.68722,22.11707,15.03805,3.36488,10.99319,8.79776,29.10012,7.79936,9.59867,1.67437,70.68669,236.6366,261.1199,7.66412,21.50767,108787807.0,108.1137,11185.56,19.56814
25,CPAC,9.89499,2.204403,1.39308,0.88908,5.87978,31.28295,33.45764,8.43319,9.06093,16.83165,18.06998,14.06258,5.40729,7.19245,1.89899,51.36883,105.4678,105.6294,3.60098,0.0,423868449.0,49.58647,499.9154,0.0
26,CX,17.92785,0.0,0.91323,0.64145,5.93308,30.95568,31.22501,3.60102,0.0,7.01851,0.0,5.26112,2.1128,2.71509,0.81589,42.75367,74.60683,77.58302,8.3332,0.0,15137459907.0,461.4482,9991.777,3.65527
27,CF,4.34026,0.046673,2.33664,1.22518,2.8869,48.6544,42.89264,34.2304,32.30616,44.11423,41.05368,63.945,26.01913,37.81414,4.46404,26.82706,54.39208,54.39208,23.59416,0.0,194919933.0,19.40617,12656.15,10.9751
28,CCF,26.09547,1.099346,3.23894,3.89043,18.19733,40.41731,41.81398,15.51467,17.95258,21.09142,22.70426,13.72063,11.96099,12.85391,7.15119,0.0,0.0,0.0,4.39969,16.28413,9505215.0,7.43543,1085.908,13.8224
29,CLW,9.95873,0.031536,0.89206,0.24886,3.37784,12.63342,14.63647,2.52196,4.54892,5.69094,7.57518,9.48307,3.16576,3.74474,2.13898,48.86854,95.4223,95.57432,15.39593,0.0,16916299.0,16.51095,526.9427,0.0
30,CLF,16.36193,0.0,0.99925,0.33771,5.03725,6.12656,1.86969,2.31537,0.0,3.3723,0.0,6.82751,2.69131,3.36885,2.15145,36.909,60.41611,60.41611,0.0,4.97621,515079211.0,508.2767,7540.76,0.0
31,CNEY,2.08999,0.002086,0.07767,0.2264,2.48614,9.05752,9.14431,5.54577,4.62785,1.14367,3.19504,3.52631,2.72073,3.48936,2.43641,6.11315,0.6612,6.51119,102.5784,94.53127,39396196.0,34.60925,9.10272,21.68018
32,CMC,5.05122,0.279825,1.35393,0.55824,4.13496,21.50085,19.63525,11.37292,8.91223,14.91319,12.17788,31.34624,17.39387,20.65278,3.07476,26.50688,29.07056,36.06936,16.54805,0.0,117117307.0,115.8706,5118.026,18.24928
33,BVN,28.08876,0.0,0.58208,2.58729,8.96122,4.98623,17.33604,7.96881,38.93843,0.0,6.77366,2.09216,1.37196,1.56354,1.71572,18.52825,22.79686,23.93408,0.0,0.0,274889924.0,248.9126,2011.311,1.10462
34,CSTM,14.46059,0.0,2.74119,0.25188,4.59334,7.60776,8.23108,1.86489,1.12474,1.82784,3.16973,22.64151,2.95817,4.82351,1.2051,73.28911,252.6882,282.1237,19.2489,6.07375,144301592.0,142.12,2215.03,0.0
35,CMT,11.79,0.041356,1.09149,0.42947,5.28445,17.25734,17.07162,3.65869,5.07824,6.88533,7.67204,10.45966,5.66712,8.41902,1.52415,20.78775,22.76427,26.24311,17.71579,10.47934,9108182.0,7.37275,117.5948,0.15258
36,CTVA,33.42761,0.0,1.5816,2.28315,16.53672,40.90089,43.26372,7.02447,12.42834,9.99549,17.95659,4.81139,2.82754,3.84752,1.38531,16.28924,4.84785,19.64139,10.32467,27.68627,710873000.0,707.7351,40498.43,0.0
37,CRH,14.09441,0.95234,1.68614,1.10099,8.09429,33.24573,34.55007,8.20218,9.85049,11.89989,14.15515,12.67592,5.97387,7.44924,1.66509,32.9058,42.43235,50.50482,12.04205,18.18242,735322516.0,732.3427,36027.68,7.055
38,DOW,12.75897,0.0,1.78958,0.67519,6.3707,12.94472,10.31137,5.63667,0.0,6.92666,0.0,14.85369,4.91639,6.15124,1.84536,42.42475,73.03404,75.6355,0.0,0.0,707314807.0,702.7852,36115.49,0.0
39,DRD,16.60514,0.92466,3.42972,3.64638,13.72839,26.13048,25.18932,22.04842,20.15597,24.82984,22.14897,21.93572,16.81561,18.27511,5.3504,0.7439,0.42802,0.74948,10.10835,1.30916,864588711.0,39.23306,1008.876,15.49172
40,DD,29.88107,1.977419,1.11591,2.33807,13.45787,35.15398,34.29423,8.63569,9.04573,14.21519,13.65142,4.02548,2.54501,2.86107,3.28831,22.98684,29.19924,30.32128,0.0,0.0,459016772.0,453.543,29836.09,0.0
41,EXP,13.69563,0.43563,4.92398,2.73014,9.9889,28.8395,31.04087,20.82677,22.91046,26.58199,29.50769,36.47767,16.46412,17.818,2.35851,47.72845,90.45065,91.30864,16.70764,0.0,36052274.0,35.87985,5708.877,3.34772
42,EMN,14.03747,0.0,1.80924,0.91364,7.88443,20.58766,21.93201,6.75229,5.55556,10.43004,10.199,12.48985,4.5081,5.65976,1.33726,51.76018,89.28296,108.8281,0.0,1.64349,119151802.0,118.1618,9390.354,2.79625
43,ECL,42.80962,8.381372,6.68934,3.39008,23.27843,38.29583,38.34696,8.0889,6.66648,11.80042,9.84433,15.98802,5.54034,6.86489,1.17445,53.98256,102.4169,117.6411,10.50645,0.0,284720960.0,283.4432,49131.45,0.0
44,ECVT,23.44733,0.058856,1.89234,1.59251,9.09799,26.62959,22.68421,7.54369,0.0,12.056,5.38185,8.39697,3.21085,3.41206,2.03132,56.4299,128.1802,129.5152,20.62771,0.0,120161142.0,91.91026,1276.111,0.0
45,EGO,7.0449,0.00921,0.6302,2.26259,3.29063,21.00939,25.18072,39.28558,9.3057,50.15684,14.98077,8.89014,7.90268,8.27243,2.91718,13.5783,15.55199,15.69215,0.0,0.0,184800571.0,184.4216,2051.409,0.0
46,ELBM,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35428974.0,0.0,0.0,0.0
47,ESI,25.21008,0.0,1.81765,1.75167,12.89656,37.54706,39.65877,7.07153,7.48607,12.12146,11.55989,7.10162,3.43699,3.72502,3.60245,44.39963,79.9295,80.41789,0.0,0.10457,241419557.0,224.18,4280.369,0.29564
48,EMX,69.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110664190.0,0.0,0.0,0.0
49,EXK,1636.816,0.0,1.94604,3.02722,22.37278,22.74426,28.89418,0.47864,11.64061,8.58279,12.52051,0.32336,0.26278,0.29676,3.01553,4.15934,2.50947,4.33985,10.22673,0.0,191276399.0,188.3574,629.3015,7.66539
50,ERO,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92260300.0,0.0,0.0,0.0
51,GSM,2.68343,0.013503,1.26498,0.36198,2.08234,48.48416,42.16475,13.94808,6.35321,21.62758,11.08944,54.69983,16.97798,26.38057,1.77178,40.85869,50.41155,69.08655,7.06752,0.0,187433543.0,94.52384,826.5819,0.0
52,FSI,5.0,0.0,1.8288,1.40419,8.78554,32.02166,34.68171,12.94738,16.93185,16.31178,20.0519,14.42208,11.52619,15.84174,2.60351,13.73202,8.22049,17.70516,10.90866,11.94473,12435532.0,6.377,44.13154,13.63759
53,FMC,16.75879,0.0,3.90173,2.33648,13.66473,40.2947,43.24184,14.1361,15.4281,19.76431,22.65119,25.02374,7.23862,11.62754,1.28993,54.65869,67.24868,121.3761,11.44912,0.0,125039191.0,124.4598,13541.74,6.22337
54,FNV,44.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191892691.0,0.0,0.0,0.0
55,FCX,19.68482,0.0,3.14807,2.34273,9.14119,30.38116,33.86528,16.68367,19.28001,27.1724,29.70867,16.74482,7.21469,10.39299,2.79227,27.30777,59.69982,60.00498,0.0,0.0,1433286280.0,1421.837,50523.34,14.57572
56,FRD,13.77827,0.007465,1.33733,0.49957,3.42034,24.13041,26.29077,14.00352,17.16082,18.29317,21.1732,36.60534,20.80563,32.98647,1.63442,0.54163,0.38063,0.54458,35.17224,33.93785,7375588.0,6.27434,84.17435,0.36201
57,FURY,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139470950.0,0.0,0.0,0.0
58,FF,8.08967,0.07026,1.2952,0.9204,6.66164,13.49998,29.14897,11.37792,28.41833,10.61005,24.60334,17.08193,13.95807,16.15721,5.44032,0.0,0.0,0.0,32.84471,0.0,43763243.0,25.89275,393.8692,0.0
