,Unnamed: 0,peRatio,pegRatio,pbRatio,prRatio,pcfRatio,grossMarginTTM,grossMarginMRQ,netProfitMarginTTM,netProfitMarginMRQ,operatingMarginTTM,operatingMarginMRQ,returnOnEquity,returnOnAssets,returnOnInvestment,currentRatio,totalDebtToCapital,ltDebtToEquity,totalDebtToEquity,revChangeTTM,revChangeIn,sharesOutstanding,marketCapFloat,marketCap,bookValuePerShare
0,ABT,33.16296,0.0,5.13978,4.58314,21.00987,55.47524,55.62737,13.98386,13.52211,16.76665,15.48169,16.03116,7.8538,9.65949,1.6777,31.21998,39.48933,45.66333,0.0,0.0,1738946799.0,1730.769,190223.4,3.56347
1,ABBV,33.80892,0.0,19.04167,4.45542,15.6313,70.95927,67.5092,13.38186,1.97137,28.49439,22.64213,50.97946,5.46741,6.97937,0.96006,82.35583,446.6777,467.7791,0.02821,0.0,1764289680.0,1761.496,252805.1,24.95577
2,ACHC,23.25971,1.599136,2.2671,2.41445,16.08079,0.0,0.0,10.55151,9.45068,16.84373,15.00028,10.28117,5.76342,6.37637,1.42224,32.67448,49.29487,50.07807,13.36913,4.29027,92034672.0,89.56567,6514.214,1.14412
3,ACRX,0.11692,0.000508,0.57544,4.62756,0.15251,0.0,0.0,2960.7,0.0,0.0,0.0,0.0,106.7218,146.1229,1.83388,18.89522,0.0,23.29729,0.0,0.0,10924294.0,7.36125,8.19541,0.0
4,AHCO,38.36043,0.0,0.68879,0.4945,3.58082,15.44843,14.30006,1.58118,2.23938,5.14906,3.51546,1.85308,0.9073,1.00091,1.23309,50.56532,100.6895,102.6456,12.33468,0.0,134172442.0,88.30751,1487.972,628.8614
5,ADUS,27.91439,2.501352,2.15733,1.43419,21.79975,31.8279,31.16666,5.14607,5.03778,7.5641,7.3959,8.13663,5.23694,5.94692,1.67826,14.32412,16.71896,16.71896,10.18851,1.84133,16204341.0,15.79006,1399.893,20.98031
6,A,28.47653,2.267476,6.66462,5.38877,22.98104,54.54545,55.12528,19.09091,20.04556,24.06926,24.25968,24.58422,12.45411,14.92723,2.1064,34.62704,48.72526,52.96844,7.52521,0.0,295701853.0,294.1879,37344.19,3.6899
7,AGTI,166.9966,0.0,2.27393,1.91293,10.69225,36.98427,36.46967,1.20461,1.01699,5.47574,6.84786,1.42376,0.55055,0.59929,1.69224,53.7636,114.419,116.3015,2.62895,6.47013,134460244.0,132.941,2155.398,0.0
8,ALC,115.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499700000.0,0.0,0.0,0.0
9,ALGN,72.32606,0.0,6.42681,6.03739,50.02808,69.78105,70.04783,8.505,9.30905,15.60316,14.15644,8.81705,5.31999,7.89992,1.16327,0.0,0.0,0.0,0.0,4.618,76516951.0,73.16514,22365.9,26.44249
10,MDRX,12.55448,0.032097,1.09629,1.54129,6.28318,48.42288,54.92029,14.3266,7.19119,8.0751,16.45647,9.24184,5.74572,7.15013,3.20347,14.54432,17.01972,17.01972,20.0687,0.6786,109259776.0,106.6435,1290.358,12.17534
11,AMED,22.09742,0.0,2.29141,1.10807,18.54307,43.49024,43.38314,4.96323,4.4769,7.84078,7.61679,10.96685,5.75278,7.35861,1.14872,26.09442,34.58402,37.08217,0.54477,0.0,32559388.0,31.91137,2475.796,16.34093
12,AMS,13.97,0.0,0.86099,0.92305,0.0,28.73386,35.90259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.60337,40.34964,77.986,82.5834,0.0,2.56645,6214000.0,3.53508,16.7238,0.0
13,ABC,22.43426,0.0,125.4621,0.14281,15.13137,3.40987,3.62496,0.63272,0.67481,0.88057,0.8833,388.6677,2.69872,11.34132,0.88726,90.61091,1656.643,1751.174,7.78364,0.97121,202466004.0,162.2953,35350.56,0.0
