,Unnamed: 0,peRatio,pegRatio,pbRatio,prRatio,pcfRatio,grossMarginTTM,grossMarginMRQ,netProfitMarginTTM,netProfitMarginMRQ,operatingMarginTTM,operatingMarginMRQ,returnOnEquity,returnOnAssets,returnOnInvestment,currentRatio,totalDebtToCapital,ltDebtToEquity,totalDebtToEquity,revChangeTTM,revChangeIn,sharesOutstanding,marketCapFloat,marketCap,bookValuePerShare
0,VCXB,621.7834,0.380755,1.46447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47837,0.45136,0.45606,0.07416,0.08555,0.0,0.08563,0.0,0.0,5209190.0,4.70919,158.0235,0.0
1,SRCE,8.3074,1.306402,1.12672,2.8076,7.37043,0.0,0.0,34.05782,33.51456,44.40409,43.51262,13.88888,1.52074,0.0,0.0,0.0,11.60171,44.93317,27.45955,9.43554,24695552.0,22.59801,1024.371,4.80843
2,ADER,49.09975,0.0,7.91488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.50752,4.6487,4.78983,0.13833,9.14718,0.0,10.06813,0.0,0.0,3430228.0,3.43023,110.7802,0.0
3,QFIN,4.84586,0.0,1.03864,1.18303,0.0,85.66227,85.01017,24.19708,22.21653,27.01584,24.16147,23.63614,10.84812,18.6922,2.03568,0.78611,0.0,0.79588,0.0,0.0,272702117.0,159.8509,2806.259,110.9774
4,SVNA,21.88,0.0,1.32533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2767,5.83886,5.85233,0.82989,0.0,0.0,0.0,0.0,0.0,23000000.0,23.0,301.875,0.0
5,VII,32.06615,0.0,2.96047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.60246,6.64312,6.80758,0.19116,2.78225,0.0,2.86188,0.0,0.0,5076777.0,5.07678,113.7894,0.0
6,ENER,227.2127,1.493612,1.31601,0.0,257.1197,0.0,0.0,0.0,0.0,0.0,0.0,0.51314,0.49363,0.49548,0.25897,0.0,0.0,0.0,0.0,0.0,25995000.0,20.82,268.2684,0.0
7,ACBA,61.75666,0.492516,1.49101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44383,2.25452,2.3152,0.03947,0.0,0.0,0.0,0.0,0.0,3789547.0,2.18543,41.91239,0.0
8,AVHI,81.30079,0.0,21.09089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1564,2.19156,2.88413,0.02198,0.0,0.0,0.0,0.0,0.0,3519465.0,0.9946,37.04307,0.0
9,ACAC,529.0323,0.0,1.32263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.30456,0.0,0.0,0.0,0.0,0.0,5799944.0,5.74194,84.81303,0.0
10,ACNB,6.5261,0.146074,0.97249,2.21628,5.90268,0.0,0.0,34.14791,32.13777,43.06236,40.67887,14.91687,1.48053,0.0,0.0,0.0,0.0,11.84095,20.83496,0.0,8523256.0,8.15565,247.7711,5.59362
11,ACRO,2138.656,18.527009,1.3211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06173,0.05899,0.05956,0.12781,0.98329,0.0,0.99305,0.0,0.0,34500000.0,34.5,439.0125,0.0
12,ADEX,73.93,0.0,1.34095,0.0,76.37842,0.0,0.0,0.0,0.0,0.0,0.0,0.97491,0.93193,0.94007,0.03532,0.0948,0.0,0.09489,0.0,0.0,9367422.0,27.63,353.28,0.0
13,ARBG,42.19444,4.681021,3.44998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.62927,5.12363,5.14475,0.27497,0.0,0.0,0.0,0.0,0.0,3589044.0,3.55315,94.88469,0.0
14,AMG,6.05382,0.069916,1.55007,2.26447,3.55777,0.0,0.0,60.62595,36.43216,31.10099,32.35408,38.19079,15.54853,20.53411,0.0,34.79317,77.50542,77.50542,0.0,0.0,36101886.0,35.41552,5071.954,6.66955
15,AFBI,11.256,27.793279,0.65822,2.47931,0.0,0.0,0.0,22.60004,23.11409,29.5512,30.18792,6.02127,0.83485,0.0,0.0,0.0,0.0,0.0,9.54576,8.59567,6535050.0,4.86803,77.50569,0.0
16,AFL,9.42246,0.721734,1.99575,2.0662,0.0,0.0,0.0,22.86539,24.75,25.64681,28.95833,17.67151,3.08994,0.0,0.0,26.8938,36.7873,36.7873,0.0,19.58146,604226995.0,563.1813,39371.43,0.77225
17,AGAC,49.89905,0.0,1.37149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78568,2.59014,2.59063,5.89571,0.0,0.0,0.0,0.0,0.0,5317556.0,5.31756,162.6292,0.0
18,AFTR,33.3755,0.0,1.31879,0.0,113.3232,0.0,0.0,0.0,0.0,0.0,0.0,3.40246,3.20477,3.34149,0.04564,0.81357,0.0,0.82024,0.0,0.0,25000000.0,50.0,585.1875,0.0
19,AHRN,28.62049,0.04649,1.28254,0.0,141.4973,0.0,0.0,0.0,0.0,0.0,0.0,4.67728,4.43939,4.47422,78.34737,0.0,0.0,0.0,0.0,0.0,29999800.0,27.5,393.7474,0.0
20,AIB,202.1033,0.079445,1.39193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37722,1.32287,1.33023,0.65236,0.0,0.0,0.0,0.0,0.0,1472277.0,1.59909,38.35353,0.0
21,ALRS,7.35005,0.0,0.79291,1.36426,6.12085,0.0,0.0,18.20956,16.73652,23.76485,21.45121,10.95222,1.05239,0.0,0.0,0.0,16.3935,120.021,41.04113,5.57634,20066807.0,17.64957,284.748,15.51715
