,Unnamed: 0,peRatio,pegRatio,pbRatio,prRatio,pcfRatio,grossMarginTTM,grossMarginMRQ,netProfitMarginTTM,netProfitMarginMRQ,operatingMarginTTM,operatingMarginMRQ,returnOnEquity,returnOnAssets,returnOnInvestment,currentRatio,totalDebtToCapital,ltDebtToEquity,totalDebtToEquity,revChangeTTM,revChangeIn,sharesOutstanding,marketCapFloat,marketCap,bookValuePerShare
0,ACU,29.85158,0.149906,1.90961,0.82614,8.49324,35.78605,36.01802,7.47503,16.12148,8.85827,16.27088,19.32994,9.82109,11.59039,4.64126,36.39136,56.85274,57.21136,14.51624,3.03733,3545725.0,3.10615,142.5569,7.81092
1,AGRO,14.3343,0.0,0.79736,0.67798,2.76681,19.44862,20.81168,4.86377,9.34797,17.79086,22.76002,5.78745,2.19301,2.63388,1.79212,52.44635,89.76699,114.0081,19.20846,0.0,107642805.0,107.1904,926.1249,12.70506
2,ATGE,23.53489,0.066608,1.21299,1.24794,9.23077,55.36549,55.07231,5.5731,13.15778,11.96214,16.10184,5.39691,2.52593,2.9751,1.21719,31.49604,45.97695,45.97695,16.28998,1.80337,43609242.0,42.69345,1806.295,4.28883
3,AFYA,13.67848,0.186401,1.64862,2.2643,8.80449,63.09442,59.43695,16.86331,12.21417,28.51369,25.18279,12.15454,5.75595,6.61675,1.80819,45.51067,77.3645,84.86213,35.45983,0.59028,47920068.0,31.14545,1067.503,85.59864
4,ACI,9.01705,0.0,7.17964,0.15005,3.86135,28.01762,27.83615,1.94914,1.70325,2.97116,2.37393,52.221,5.57549,8.06901,0.74393,84.32404,472.9775,537.9196,8.01633,0.607,573952687.0,313.6733,11651.24,0.0
5,MO,14.48889,0.161733,0.0,3.22944,13.83421,56.95141,58.20948,22.43711,31.24672,47.31373,48.20773,0.0,14.51318,19.64276,0.78198,117.745,0.0,0.0,0.0,0.0,1785039536.0,1783.57,80487.43,0.0
6,ABEV,15.60683,1.61907,2.69057,2.81176,10.78128,49.70837,50.65356,18.55922,18.60168,24.36912,25.15832,17.98988,11.55088,15.86845,0.99288,4.19983,3.11922,4.45808,9.57445,0.0,15753833284.0,4408.628,46558.03,12.2258
7,DIT,6.94987,0.024129,1.23928,0.05369,6.49222,5.85676,5.82728,0.63923,0.67005,0.94719,0.9809,17.74205,5.76131,7.46925,2.99087,44.49984,79.40112,80.17965,12.73837,15.79852,611052.0,0.16272,88.47818,2.43104
8,BUD,16.39988,0.200783,0.0,1.78389,7.43622,54.33769,54.14761,15.56735,14.41638,25.73174,24.32984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.36788,0.0,1737196570.0,609.7943,104828.4,0.0
9,ADM,9.17808,0.194789,1.60365,0.39067,7.23969,7.60262,8.64074,4.38624,4.86873,4.19306,4.97258,18.34424,7.23388,12.46256,1.51012,29.4261,31.15447,42.26066,13.30134,0.0,544634817.0,542.2922,39840.04,6.19051
10,ARCE,86.30747,0.695162,1.80765,2.21482,12.24571,71.80813,72.31482,2.2242,3.33195,16.64552,35.11175,2.09343,0.67252,0.89577,1.22114,51.48682,98.89862,106.1295,44.10068,167.5353,29450551.0,36.26435,795.9688,39.57465
11,BRBR,33.35014,0.645186,0.0,3.2241,28.56317,32.13404,30.36826,9.87251,8.01349,17.47547,15.04149,0.0,20.68242,25.88832,3.16561,159.8188,0.0,0.0,14.85854,6.31376,132802631.0,130.2999,4830.032,0.0
12,BJ,18.82591,0.861366,9.07408,0.49357,13.32979,17.76286,18.32161,2.66249,2.62496,3.82077,3.91093,60.68221,8.55764,13.76691,0.66916,44.89511,42.78412,81.47209,15.88657,3.01497,133903598.0,133.6436,9533.456,0.0
13,BON,0.87499,0.136317,0.18459,0.2422,1.12119,31.50794,33.21558,20.87168,22.88979,21.86739,23.13084,22.44958,16.94706,21.36532,2.21394,13.69881,0.64207,16.15811,17.3135,18.49566,11146226.0,3.96333,7.24393,0.0
14,LND,5.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102377008.0,0.0,0.0,0.0
15,BRID,2.42081,0.00308,0.86918,0.41988,2.11583,27.60995,27.69465,17.34438,1.51245,24.02841,2.36117,45.11756,27.60677,32.21487,4.30606,3.77251,2.8965,3.92041,5.44826,0.0,9076832.0,1.75039,110.6094,17.6504
16,BTI,9.14711,5.096025,0.79885,2.20691,7.80263,83.53282,83.76167,24.75502,33.19356,38.05099,46.29379,9.35783,4.70659,5.32199,0.8631,36.29732,51.38255,57.23782,7.67404,14.89626,2236323395.0,2117.708,76198.82,4.93753
17,BF.A,41.64409,0.0,9.93812,7.25475,37.6526,59.47822,57.72433,17.40067,9.25069,25.73001,16.0037,26.1652,10.40057,13.22059,1.9881,49.91757,66.62278,99.67084,11.44305,0.0,169240059.0,470.7964,30310.35,12.79867
18,BF.B,41.64409,0.0,9.93812,7.25475,37.6526,59.47822,57.72433,17.40067,9.25069,25.73001,16.0037,26.1652,10.40057,13.22059,1.9881,49.91757,66.62278,99.67084,11.44305,0.0,309951931.0,470.7964,30310.35,12.79867
19,BG,8.74363,0.0,1.17933,0.20125,6.54936,5.62837,7.63961,2.46101,4.29932,3.36683,5.40188,16.76737,5.87814,10.84313,1.82936,34.78684,43.31492,57.45856,7.42537,0.0,150596246.0,129.6515,13419.63,6.72616
20,CALM,2.98457,0.000734,1.48011,0.74526,2.75013,39.16242,46.41897,24.78495,32.35802,32.03408,40.88079,59.00111,46.17927,53.22087,3.81194,0.0,0.0,0.0,98.86029,24.42223,44130149.0,37.74234,2273.43,5.40404
21,CPB,19.62933,0.0,4.75839,1.73022,13.68812,30.83796,30.54326,8.8591,9.33602,13.62101,14.08451,23.39905,6.78688,8.58818,0.77325,55.92951,110.9197,126.9797,10.53963,0.0,299475991.0,192.1,15878.22,15.42085
22,CENTA,17.4334,0.0,1.43742,0.58553,8.03186,28.7976,28.56291,3.46739,5.35509,6.30234,8.58533,8.49132,3.37367,3.99999,3.4749,46.90618,88.40043,88.42012,0.0,44.82358,41165880.0,49.38912,1908.522,14.88608
23,CENT,17.4334,0.0,1.43742,0.58553,8.03186,28.7976,28.56291,3.46739,5.35509,6.30234,8.58533,8.49132,3.37367,3.99999,3.4749,46.90618,88.40043,88.42012,0.0,44.82358,11237135.0,49.38912,1908.522,14.88608
24,CHGG,5.13426,0.017343,1.09557,1.4673,3.07953,74.54836,73.80078,34.9725,1.16524,12.31685,0.0,28.98528,10.47247,11.12592,4.5648,54.16341,118.1663,118.1663,0.0,0.0,119716256.0,116.6256,1103.784,19.87955
25,BTOG,144.4651,1.422207,0.39441,77.77842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39582,0.0,0.0,19.17855,0.0,0.0,0.0,0.0,0.0,88806656.0,82.04126,14.96068,0.0
26,CHD,57.15976,0.0,6.36967,4.24253,36.92321,42.10995,43.50259,7.49247,14.21178,11.05624,20.41544,11.67369,5.09261,6.24863,1.18458,39.74041,65.43883,65.94869,4.95008,0.0,244263640.0,243.4265,23368.7,9.82217
27,COKE,14.63338,0.122633,4.83778,0.93763,9.52737,37.6004,39.71044,7.14318,7.51615,11.24511,13.11075,44.64351,12.59116,16.48475,1.66585,33.00758,49.08046,49.27061,11.77814,0.0,8368993.0,5.29355,5971.04,24.81178
28,CCEP,18.64911,0.350361,3.76902,1.62428,12.30644,36.04503,35.96239,8.78176,9.35841,12.04388,12.37832,20.82873,5.20864,6.78715,0.89471,61.52217,141.9498,159.8899,25.84466,9.17874,457106453.0,289.357,30554.59,3.38244
29,KOF,16.3067,0.549397,2.85543,1.40135,10.03511,44.29021,44.38517,8.82411,7.11011,13.41069,13.14487,17.36735,7.34795,9.87305,1.14491,39.20704,60.75622,68.11304,15.56987,0.0,525207645.0,162.0267,18652.57,0.45533
30,CL,42.33273,0.0,0.0,3.65385,28.96854,56.6474,56.85535,9.69571,8.67925,14.60356,13.43816,1014.603,11.14873,16.12625,1.2308,95.44578,0.0,0.0,4.93248,3.04601,829568199.0,829.5513,67004.23,0.0
31,CCU,21.91707,0.0,1.91961,0.89284,9.59141,44.75865,48.48774,4.61684,8.40968,7.97039,13.21932,8.76115,3.75396,5.08212,2.12691,48.92522,90.41005,104.3006,4.8733,0.0,369502872.0,63.0568,3067.351,3.61517
32,CAG,21.75289,0.0,1.96004,1.42287,17.82591,26.24266,27.19909,4.97884,9.45083,10.39488,16.06998,9.12647,2.70546,3.22452,0.97015,50.87254,91.14409,104.3919,7.46388,0.0,476906797.0,474.2733,17378.48,13.82319
33,COST,36.4569,3.747398,9.65462,0.93875,27.40493,12.06749,12.38193,2.59397,2.65263,3.38837,3.44335,28.66957,9.35917,18.62118,1.05579,22.40223,28.5426,28.87602,11.49801,1.52286,443483205.0,441.6334,220034.2,13.59644
34,COTY,59.72141,1.174197,2.5529,1.77679,14.95502,63.89179,62.90635,3.84673,8.67406,6.28026,3.37497,4.89075,1.59078,2.11914,0.69434,52.61928,116.8504,118.6778,3.31442,0.0,852796812.0,351.5861,9542.796,0.0
35,DAR,13.61145,1.562543,2.41966,1.40251,8.28511,23.1138,23.68276,10.72605,10.59948,15.12157,14.28366,19.72262,8.53953,9.68805,1.73109,53.15851,113.0463,115.9925,37.46413,1.30588,159564168.0,158.8589,9757.349,11.79663
36,DEO,22.93143,1.14031,9.98425,4.72959,18.60055,60.73308,61.52866,21.61986,25.55202,28.51315,33.72611,45.3124,10.17543,14.24232,1.56895,64.09099,188.0329,216.3534,22.43052,25.68379,2251025258.0,141.6692,99881.34,0.0
37,DOLE,13.06852,0.009526,0.97341,0.12247,4.78992,6.44402,6.67546,1.13735,0.45017,1.23987,1.34666,7.71694,2.26709,3.43836,1.09926,48.32301,97.08843,106.2225,42.98541,3.90997,94899194.0,64.31571,1130.249,0.0
38,DG,20.12065,3.956241,8.49808,1.24443,14.99433,31.23303,30.85706,6.38393,6.46027,8.79459,9.14616,40.93593,8.72029,11.09687,1.28759,55.84657,126.483,126.483,10.59137,7.79741,219108477.0,217.9472,47095.18,2.1013
39,DLTR,22.05031,0.890414,4.0147,1.23998,14.74035,31.53852,30.95574,5.70174,5.85698,7.89328,8.00575,19.61627,7.22065,8.88997,1.50693,28.10788,39.0973,39.0973,7.63833,11.25088,221197989.0,218.2798,35130.66,5.50348
40,EPC,24.23605,0.0,1.49569,1.01074,12.10829,39.95153,40.39104,4.26802,3.17513,5.47976,4.34492,6.2928,2.5053,2.93577,1.77364,48.77808,93.80226,95.22893,4.71357,27.56342,51173405.0,48.65947,2252.142,0.0
41,ELF,104.4675,0.826898,12.29016,9.5585,67.71503,66.20126,67.37206,9.43172,13.03766,12.50609,15.77417,13.56164,8.94854,10.44574,3.00319,14.97602,16.13713,17.61388,30.79636,19.76968,53294702.0,50.06859,4746.959,0.0
42,AKO.A,14.69986,0.0,2.19462,0.66758,6.89215,38.56476,39.40861,5.13998,6.42546,11.76429,13.38673,13.59119,4.80312,6.29774,1.29017,53.83628,85.79966,120.438,14.11281,0.0,473289301.0,91.77888,2253.769,1.56646
43,AKO.B,14.69986,0.0,2.19462,0.66758,6.89215,38.56476,39.40861,5.13998,6.42546,11.76429,13.38673,13.59119,4.80312,6.29774,1.29017,53.83628,85.79966,120.438,14.11281,0.0,473281303.0,91.77888,2253.769,1.56646
44,EWCZ,183.2011,0.57492,11.16435,4.92388,36.25299,70.87439,71.02341,4.02895,0.0,18.52118,10.62295,3.53157,1.24645,1.53869,2.94385,74.08096,397.2451,401.5262,13.00101,0.0,49703011.0,44.11607,1042.962,0.0
45,FAMI,5.57012,0.0,0.07882,0.12289,5.32827,5.4812,4.29305,2.24161,4.92473,0.94984,2.72797,1.41403,1.35004,1.40706,18.48817,2.51369,0.18896,2.57851,157.9503,35.46146,23906985.0,21.93921,12.19256,0.0
