,Unnamed: 0,peRatio,pegRatio,pbRatio,prRatio,pcfRatio,grossMarginTTM,grossMarginMRQ,netProfitMarginTTM,netProfitMarginMRQ,operatingMarginTTM,operatingMarginMRQ,returnOnEquity,returnOnAssets,returnOnInvestment,currentRatio,totalDebtToCapital,ltDebtToEquity,totalDebtToEquity,revChangeTTM,revChangeIn,sharesOutstanding,marketCapFloat,marketCap,bookValuePerShare
59,BWXT,25.5242,0.0,7.76059,2.69414,19.37081,24.80797,24.14491,10.5943,10.7314,16.06902,15.45535,33.18647,9.09752,10.61849,2.44148,63.44762,172.7603,173.5533,6.76766,0.0,91447674.0,90.86396,6116.935,23.35855
60,CDRE,35.00057,0.074331,4.79779,1.74768,20.65775,39.14773,41.71708,4.94154,6.26588,9.11864,10.04045,17.32286,6.47546,8.22938,2.63202,46.32001,79.72735,86.28917,10.45237,0.0,37586031.0,15.88861,812.9858,0.0
61,CAE,51.74986,0.85146,2.11947,2.37852,17.81969,27.57958,29.2071,4.79522,7.84083,9.75704,14.29972,4.3167,1.9202,2.4573,0.9725,42.29085,69.59574,74.64673,17.85779,2.72855,317859865.0,317.4751,6883.62,10.93149
62,CNI,20.30565,1.230563,5.14574,6.16828,15.22261,72.92231,73.33642,30.60072,28.28658,41.07385,38.53466,25.37988,10.93414,11.95452,0.74036,44.38638,68.6658,79.81207,20.90102,0.0,662400000.0,671.7758,81035.94,7.27787
63,CP,28.04,0.0,6.96681,9.41425,58.98737,69.2212,68.84409,3.39452,21.03495,11.59736,33.85753,2.30077,0.93934,1.06147,0.723,47.16793,96.54563,96.76841,8.40109,0.0,931059385.0,90.83415,27234.47,4.30763
64,CSL,12.98471,0.224039,3.41762,1.67133,9.73143,32.21184,29.75908,13.23633,8.44927,18.15951,11.96132,28.92852,11.50404,13.48236,2.3143,45.79597,74.61335,84.48811,16.93535,0.0,50967646.0,50.64719,10486.59,7.7636
65,CRS,111.7607,0.945074,1.67809,0.94553,14.75154,12.32278,13.54876,0.87444,2.69526,3.76942,5.69483,1.51068,0.65143,0.80051,2.44963,37.64623,52.19259,60.37523,39.05088,19.16767,48550179.0,47.29776,2227.482,1.4531
66,CARR,14.28504,0.0,4.3258,1.67245,11.64794,26.43536,26.24692,12.28137,7.33928,15.84125,10.52532,33.18674,10.21263,13.44013,1.70493,51.1029,107.0568,108.8026,2.29483,3.29089,834838102.0,826.3183,35188.43,0.0
67,CWST,93.85404,3.427067,9.82582,4.42613,26.96563,33.47102,31.36084,4.70855,1.35113,8.57455,3.90906,11.19605,3.84596,4.3013,1.29428,53.91301,115.1323,116.981,19.27253,0.0,50897927.0,50.05193,4929.182,0.0
68,CASS,15.29023,0.96459,2.35533,2.60221,13.96621,96.73485,93.92249,17.14484,13.64037,21.12346,17.19756,15.53829,1.39245,13.45678,0.0,70.93517,0.0,244.0584,22.39687,1.14764,13716492.0,12.22634,512.4481,0.0
69,CTRM,0.5163,0.005005,0.13264,0.23355,0.42394,75.97582,76.75834,45.23457,48.5875,48.37041,51.79378,29.47697,21.63843,23.46707,3.23667,24.7566,26.01634,32.90203,98.48737,0.0,94610088.0,94.61009,61.21273,0.0
70,CAT,15.31738,1.085091,5.89006,1.73066,11.51285,32.45705,36.38885,11.4765,12.14223,14.23015,17.21725,40.38735,8.53518,13.55241,1.43396,67.0881,137.0489,204.0774,17.13781,0.0,515355647.0,511.182,106781.7,6.04315
71,CBZ,21.23522,0.367856,3.23147,1.68509,16.16465,16.28829,25.07556,8.16354,16.09306,12.32243,21.57825,15.72042,6.04933,7.8665,1.40919,34.33904,52.29749,52.29749,23.32486,54.08127,50126705.0,47.72025,2485.282,7.89267
72,CECO,24.5665,0.054711,1.85882,0.91095,13.84484,30.94043,31.17632,4.04762,2.19344,5.06331,4.85151,7.82203,3.49351,5.04191,1.60564,39.69836,65.23825,67.47752,28.45215,0.0,34590733.0,28.70351,403.3279,2.8191
73,GTLS,83.05945,2.995487,1.7114,2.67516,31.28334,26.38904,28.16509,3.27914,0.0,5.81784,1.87767,2.62501,0.95128,1.1933,1.25326,59.94821,149.6767,149.6767,29.84891,21.86226,42727377.0,35.51486,4805.121,19.7039
74,CVR,13.4362,0.046182,0.86167,0.74776,8.46958,21.57872,20.05024,4.86313,3.81988,6.25592,4.69048,5.70329,5.19761,5.52639,8.37026,0.0,0.0,0.0,24.11367,0.0,966132.0,0.7822,25.10977,1.61873
75,CYD,10.43326,0.0,0.2532,0.14229,0.0,16.41014,17.01952,2.09387,2.54998,3.23937,3.09902,2.44661,1.36885,3.39126,1.52329,16.86604,2.53313,26.6521,0.0,0.0,40858290.0,15.49283,326.8663,1.56898
76,CHRW,15.78931,0.0,8.25788,0.50743,12.97355,14.99453,14.8675,3.49037,2.49131,4.81204,3.49186,45.15915,11.97029,23.68994,1.09728,58.47067,66.61937,140.7937,0.0,0.0,116438842.0,115.0994,11413.32,2.63279
77,CTAS,37.41064,3.758062,13.03933,5.50651,27.83117,46.837,47.21633,15.06243,14.87804,20.17552,20.4025,37.26461,15.58523,20.53847,2.09626,42.94744,68.42215,75.27697,13.00712,0.69559,101701804.0,86.25423,47388.97,8.28346
78,CIR,14.68183,0.099578,3.67877,0.73743,6.26005,34.297,36.46829,5.03032,0.0,11.50116,8.8214,29.79979,3.99158,4.92415,2.29523,75.61729,310.1266,310.1266,5.85967,0.0,20390445.0,19.93961,593.158,0.0
79,CLH,17.44445,0.18493,3.84101,1.43397,9.66728,31.53374,28.74994,8.27221,5.53784,12.71826,9.07099,24.5618,7.43135,8.80366,2.05327,54.99591,121.697,122.202,27.32146,2.29161,54104121.0,50.54574,7607.04,11.07486
