,Unnamed: 0,peRatio,pegRatio,pbRatio,prRatio,pcfRatio,grossMarginTTM,grossMarginMRQ,netProfitMarginTTM,netProfitMarginMRQ,operatingMarginTTM,operatingMarginMRQ,returnOnEquity,returnOnAssets,returnOnInvestment,currentRatio,totalDebtToCapital,ltDebtToEquity,totalDebtToEquity,revChangeTTM,revChangeIn,sharesOutstanding,marketCapFloat,marketCap,bookValuePerShare
32,DUK,18.45211,7.589401,1.53245,2.50584,7.603,45.18193,45.2309,13.58605,13.3315,22.16035,23.00715,8.27794,2.24423,2.50099,0.7689,59.45098,140.2903,154.6244,13.46048,4.1959,770651719.0,769.2725,72448.97,1.44279
33,EIX,32.24933,0.768783,1.96788,1.5637,7.62279,36.24695,39.4352,6.11569,9.20323,10.70972,15.63288,6.11144,1.37133,1.5827,0.86182,65.48869,188.1518,212.8131,8.20084,0.0,382983023.0,381.5347,26923.71,0.0
34,EE,113.4497,0.115208,4.73371,1.09344,11.63395,17.96148,45.9968,4.67851,14.56438,8.37773,23.48618,2.47585,3.69661,5.42059,2.45416,34.0028,168.2566,183.796,59.06433,0.0,26254167.0,25.77337,2287.863,0.0
35,ENIC,2.51208,0.002078,0.80349,0.63292,2.02648,32.90564,31.08213,26.69228,13.08589,19.53794,18.19202,35.95597,13.32608,18.29764,0.97146,34.18096,53.25051,55.56833,66.09987,0.0,69166557219.0,496.6478,4149.491,0.0
36,ETR,18.74373,3.715559,1.66783,1.57052,6.57012,36.68953,38.75726,8.1475,10.47611,14.03888,15.5015,9.18674,1.89831,2.09525,0.90402,67.33068,182.7555,206.0976,17.75977,0.0,211446651.0,202.7065,21779.01,6.75357
37,WTRG,24.16782,12.861244,1.97135,4.69674,14.02192,46.87572,46.19231,19.3879,26.35199,28.46514,31.0371,8.33476,2.92468,3.073,0.63461,54.86742,117.5595,121.5694,16.11718,2.9866,264379508.0,261.8792,10873.93,13.10416
38,EVRG,17.98747,0.0,1.45977,2.33514,7.71015,0.0,0.0,13.11531,11.08883,21.80378,21.53763,8.25372,2.66321,3.01814,0.51878,56.51814,106.4095,130.1549,14.10545,1.34417,229680947.0,229.0332,13852.06,8.4784
39,ES,17.87453,1.648308,1.65043,2.07275,9.70721,0.0,0.0,11.64205,12.9896,18.21665,19.74825,9.49837,2.82435,3.19541,0.64581,59.94786,131.7294,149.6745,18.46006,28.32916,348841840.0,347.0224,25995.69,4.80246
40,EXC,17.40141,0.344299,1.56123,2.02745,6.97971,42.87785,41.72209,11.60876,12.02589,18.22607,19.88136,9.23451,2.36469,2.59347,0.96107,62.50411,156.076,166.6959,3.64388,19.22417,994568998.0,991.3402,39156.18,0.0
41,FE,53.36804,0.0,2.13089,1.72018,11.65848,59.94532,59.96815,3.62964,9.59455,14.49492,17.05354,4.31397,1.01212,1.11679,0.67757,67.92599,215.7807,221.6522,11.46117,1.69972,572836882.0,571.401,21848.0,15.0536
42,FTS,20.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484357731.0,0.0,0.0,0.0
43,GNE,8.71014,0.312086,2.10643,1.20632,21.10453,42.09186,31.61784,14.6783,10.76884,18.5336,10.70994,30.24742,19.15685,28.5303,2.35877,0.0,0.0,0.0,10.99882,29.34917,24438743.0,20.84365,403.983,16.31083
44,GWRS,36.59713,0.794611,5.78616,5.49024,15.19129,0.0,0.0,14.80963,18.78428,21.39586,28.77057,18.88271,2.21044,2.33614,0.50585,71.21792,238.9921,247.4384,12.04639,18.28093,23871046.0,11.74628,262.5815,19.69513
